Prebuilt Roles,,,,Custom Roles
chronicle.iocs.findFirstAndLastSeen,chronicle.legacies.legacyUpdateAlert,,,chronicle.logs.import
chronicle.iocs.get,chronicle.logTypeSchemas.list,,,chronicle.logs.list
chronicle.iocs.searchCuratedDetectionsForIoc,chronicle.logs.export,,,chronicle.messages.create
chronicle.legacies.legacyBatchGetCases,chronicle.logs.get,,,chronicle.messages.delete
chronicle.legacies.legacyBatchGetCollections,chronicle.logs.import,,,chronicle.messages.get
chronicle.legacies.legacyFetchAlertsView,chronicle.logs.list,,,chronicle.messages.list
chronicle.legacies.legacyFetchUdmSearchCsv,chronicle.messages.create,,,chronicle.messages.update
chronicle.legacies.legacyFetchUdmSearchView,chronicle.messages.delete,,,chronicle.multitenantDirectories.get
chronicle.legacies.legacyFindAssetEvents,chronicle.messages.get,,,chronicle.nativeDashboards.create
chronicle.legacies.legacyFindRawLogs,chronicle.messages.list,,,chronicle.nativeDashboards.delete
chronicle.legacies.legacyFindUdmEvents,chronicle.messages.update,,,chronicle.nativeDashboards.duplicate
chronicle.legacies.legacyGetAlert,chronicle.multitenantDirectories.get,,,chronicle.nativeDashboards.get
chronicle.legacies.legacyGetCuratedRulesTrends,chronicle.nativeDashboards.create,,,chronicle.nativeDashboards.list
chronicle.legacies.legacyGetDetection,chronicle.nativeDashboards.delete,,,chronicle.nativeDashboards.update
chronicle.legacies.legacyGetEventForDetection,chronicle.nativeDashboards.duplicate,,,chronicle.operations.get
chronicle.legacies.legacyGetRuleCounts,chronicle.nativeDashboards.get,,,chronicle.operations.list
chronicle.legacies.legacyGetRulesTrends,chronicle.nativeDashboards.list,,,chronicle.operations.streamSearch
chronicle.legacies.legacyRunTestRule,chronicle.nativeDashboards.update,,,chronicle.operations.wait
chronicle.legacies.legacySearchArtifactEvents,chronicle.operations.cancel,,,chronicle.parserExtensions.generateKeyValueMappings
chronicle.legacies.legacySearchArtifactIoCDetails,chronicle.operations.delete,,,chronicle.parserExtensions.get
chronicle.legacies.legacySearchAssetEvents,chronicle.operations.get,,,chronicle.parserExtensions.legacySubmitParserExtension
chronicle.legacies.legacySearchCuratedDetections,chronicle.operations.list,,,chronicle.parserExtensions.list
